sbscrptn_ek_id,prdct_nm
1463184,Free Stardial Facilities
1463184,Freetime 20
1463184,My Package
1463184,Super 10
1463184,Super 30
1463184,Super Smart
1463184,Valuetime
1464016,3G SimSim
1464016,Call Conference
1464016,Free Stardial Facilities
1464016,Freetime 20
1464016,My Package
1464016,Super 10
1464016,Super 30
1464016,Super Smart
1464016,Valuetime
1464318,3G SimSim
1464318,Call Conference
1464318,Free Stardial Facilities
1464318,Freetime 20
1464318,My Package
1464318,Super 10
1464318,Super 30
1464318,Super Smart
1464318,Valuetime
1464640,3G SimSim Home
1464640,Free Stardial Facilities
1464640,Freetime 20
1464640,My Package
1464640,Super 10
1464640,Super 30
1464640,Super Smart
1464640,Valuetime
1465505,3G SimSim
1465505,Call Conference
1465505,Free Stardial Facilities
1465505,Freetime 20
1465505,My Package
1465505,Super 10
1465505,Super 30
1465505,Super Smart
1465505,Valuetime
1465632,3G SimSim Home
1465632,Free Stardial Facilities
1465632,Freetime 20
1465632,My Package
1465632,Super 10
1465632,Super 30
1465632,Super Smart
1465632,Valuetime
1465687,3G SimSim Cool
1465687,Free Stardial Facilities
1465687,Freetime 20
1465687,My Package
1465687,Super 10
1465687,Super 30
1465687,Super Smart
1465687,Valuetime
1466022,FreeFridays
1466538,3G SimSim
1466538,Call Conference
1466538,Free Stardial Facilities
1466538,Freetime 20
1466538,My Package
1466538,Super 10
1466538,Super 30
1466538,Super Smart
1466538,Valuetime
1467376,3G SimSim
1467376,Call Conference
1467376,Free Stardial Facilities
1467376,Freetime 20
1467376,My Package
1467376,Super 10
1467376,Super 30
1467376,Super Smart
1467376,Valuetime
1467775,FreeFridays
1467809,3G SimSim
1467809,Call Conference
1467809,Free Stardial Facilities
1467809,Freetime 20
1467809,My Package
1467809,Super 10
1467809,Super 30
1467809,Super Smart
1467809,Valuetime
1467908,3G SimSim
1467908,Call Conference
1467908,Free Stardial Facilities
1467908,Freetime 20
1467908,My Package
1467908,Super 10
1467908,Super 30
1467908,Super Smart
1467908,Valuetime
1469602,3G SimSim
1469602,Call Conference
1469602,Free Stardial Facilities
1469602,Freetime 20
1469602,My Package
1469602,Super 10
1469602,Super 30
1469602,Super Smart
1469602,Valuetime
1469728,3G SimSim
1469728,Call Conference
1469728,Free Stardial Facilities
1469728,Freetime 20
1469728,My Package
1469728,Super 10
1469728,Super 30
1469728,Super Smart
1469728,Valuetime
1470137,3G SimSim Home
1470137,Free Stardial Facilities
1470137,Freetime 20
1470137,My Package
1470137,Super 10
1470137,Super 30
1470137,Super Smart
1470137,Valuetime
1470203,FreeFridays
1471078,FreeFridays
1471656,FreeFridays
1471692,3G SimSim
1471692,Call Conference
1471692,Free Stardial Facilities
1471692,Freetime 20
1471692,My Package
1471692,Super 10
1471692,Super 30
1471692,Super Smart
1471692,Valuetime
1472247,3G SimSim
1472247,Call Conference
1472247,Free Stardial Facilities
1472247,Freetime 20
1472247,My Package
1472247,Super 10
1472247,Super 30
1472247,Super Smart
1472247,Valuetime
1472922,3G SimSim
1472922,Call Conference
1472922,Free Stardial Facilities
1472922,Freetime 20
1472922,My Package
1472922,Super 10
1472922,Super 30
1472922,Super Smart
1472922,Valuetime
1473323,FreeFridays
1473618,3G Shabab
1473618,Call Conference
1473618,Free Stardial Facilities
1473618,Freetime 20
1473618,My Package
1473618,Super 10
1473618,Super 30
1473618,Super Smart
1473618,Valuetime
1473807,3G SimSim
1473807,Call Conference
1473807,Free Stardial Facilities
1473807,Freetime 20
1473807,My Package
1473807,Super 10
1473807,Super 30
1473807,Super Smart
1473807,Valuetime
1474232,3G SimSim
1474232,Call Conference
1474232,Free Stardial Facilities
1474232,Freetime 20
1474232,My Package
1474232,Super 10
1474232,Super 30
1474232,Super Smart
1474232,Valuetime
1474404,3G SimSim
1474404,Call Conference
1474404,Free Stardial Facilities
1474404,Freetime 20
1474404,My Package
1474404,Super 10
1474404,Super 30
1474404,Super Smart
1474404,Valuetime
1474435,3G SimSim Home
1474435,Free Stardial Facilities
1474435,Freetime 20
1474435,My Package
1474435,Super 10
1474435,Super 30
1474435,Super Smart
1474435,Valuetime
1474627,3G SimSim
1474627,Call Conference
1474627,Free Stardial Facilities
1474627,Freetime 20
1474627,My Package
1474627,Super 10
1474627,Super 30
1474627,Super Smart
1474627,Valuetime
1475070,3G SimSim
1475070,Call Conference
1475070,Free Stardial Facilities
1475070,Freetime 20
1475070,My Package
1475070,Super 10
1475070,Super 30
1475070,Super Smart
1475070,Valuetime
1475500,3G SimSim
1475500,Call Conference
1475500,Free Stardial Facilities
1475500,Freetime 20
1475500,My Package
1475500,Super 10
1475500,Super 30
1475500,Super Smart
1475500,Valuetime
1476500,3G SimSim
1476500,Call Conference
